0,0,6,81,0,1,2,0
0,376,35,1429,0,1,0,0
0,140,67,5564,0,1,0,0
0,140,67,5564,0,1,0,0
0,0,20,172,0,1,0,1
0,0,12,89,0,0,0,0
0,0,3,3,0,5,0,0
0,0,0,45,0,1,0,2
0,0,4,3,0,0,0,0
0,0,14,3,0,1,0,0
0,0,14,3,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0
0,0,3,3,0,5,0,0
0,0,8,3,0,4,0,0
0,0,8,3,0,0,0,0
0,0,0,3,0,1,0,0
0,0,0,3,0,1,0,0
0,0,3,101,0,4,0,0
0,0,1,3,0,0,0,1
0,0,2,3,0,0,0,1
0,0,0,3,0,0,0,1
0,0,17,3,0,1,0,0
0,0,0,3,0,1,0,0
0,0,10,3,0,1,0,0
0,0,0,3,0,1,0,0
0,0,11,2,0,1,0,0
0,0,18,2279,0,1,1,0
0,0,3,586,0,1,0,0
0,0,1,3,0,0,0,0
0,0,0,2,0,0,0,0
0,0,6,3,0,5,0,0
0,22,5,485,0,1,0,0
0,0,1,3,0,1,0,1
0,0,7,2070,0,1,0,0
0,0,3,2,0,0,0,0
0,0,1,3,0,1,0,0
0,0,0,45,0,1,0,2
0,0,5,3,0,1,0,0
0,0,11,3,0,0,1,1
0,0,8,134,0,1,0,0
0,0,9,3,0,0,0,0
1,0,0,3,0,0,0,1
0,73,82,5449,0,1,1,0
0,0,6,3,0,1,0,0
0,0,0,1,0,1,0,0
0,0,1,30,0,0,0,0
0,0,327,20126,0,1,0,0
0,0,0,3,0,1,0,0
0,0,0,3,0,1,0,0
0,0,0,0,0,0,0,0
0,0,0,368,0,1,0,0
0,0,11,3,0,1,0,0
0,0,0,101,0,1,0,0
0,0,0,1,0,0,0,0
0,0,0,2,0,1,0,0
0,0,3,3,0,0,0,0
0,0,20,3,0,4,0,0
0,0,0,2,0,1,0,0
0,0,0,3,0,2,0,0
0,0,0,2,0,1,0,0
0,0,8,122,0,1,0,0
0,0,3,101,0,4,0,0
0,0,90,34588,0,1,0,0
0,0,0,23,0,1,0,0
0,0,0,3,0,0,0,0
0,0,1105,43963,0,1,0,0
0,0,461,8310,1,0,1,0
0,0,0,0,0,0,0,0
0,0,0,2,0,1,0,0
0,1,0,91,0,2,0,0
0,0,131,7377,0,1,0,0
0,0,14,3,0,3,0,0
0,0,1,3,0,0,0,1
0,0,14,3,0,1,0,0
0,0,1,2,0,1,0,0
0,0,0,2,0,1,0,0
0,0,0,468,0,1,0,0
0,3371,90,34598,0,1,0,0
0,0,0,37,0,0,0,0
0,0,126,7373,0,1,0,0
1,0,0,1,0,5,0,0
0,0,20,3,0,5,0,0
0,0,0,3,0,0,0,1
0,178,77,6693,0,1,0,0
0,0,1018,110713,0,1,0,0
0,0,3,1,0,1,0,0
0,0,11,3,0,3,0,0
0,0,0,3,0,1,0,0
0,0,1,3,0,1,0,0
0,0,16,4890,0,1,1,0
1,0,23,3,0,0,0,1
0,0,0,0,0,1,0,0
0,0,126,17760,0,1,0,0
0,0,0,0,0,2,0,0
0,0,8,3,0,1,0,0
0,0,7,3,0,2,0,0
0,0,0,0,0,1,0,0
0,0,138,29305,0,1,0,0
0,0,17,1,0,0,0,0
0,0,0,0,0,1,0,0
